iter	RMSE
298	14360.14563
299	14335.7068
300	14309.99624
301	14284.86582
302	14244.32925
303	14222.5601
304	14217.85591
305	14185.74722
306	14151.20451
307	14127.62267
308	14125.02449
309	14108.32236
310	14064.12251
311	14037.41558
312	14016.81499
313	13993.0095
314	13988.65582
315	13957.81753
316	13916.09333
317	13879.83891
318	13850.49006
319	13804.86672
320	13774.61489
321	13747.64629
322	13743.2041
323	13722.78653
324	13706.14182
325	13685.7595
326	13646.60125
327	13625.88437
328	13607.48226
329	13593.66148
330	13560.81355
331	13533.95168
332	13494.2221
333	13466.74506
334	13421.86691
335	13393.60069
336	13371.17981
337	13338.9693
338	13311.85457
339	13285.57299
340	13250.33573
341	13220.96953
342	13202.05684
343	13171.65049
344	13145.43884
345	13135.11568
346	13114.4931
347	13079.20041
348	13077.01647
349	13043.77143
350	13015.81901
351	12987.41899
352	12968.78557
353	12945.73554
354	12919.49918
355	12898.97478
356	12865.80386
357	12843.46458
358	12822.26704
359	12798.73389
360	12783.17059
361	12752.29073
362	12714.31574
363	12696.29501
364	12675.8588
365	12653.98594
366	12651.1754
367	12648.63145
368	12608.2289
369	12585.36045
370	12557.83191
371	12528.82608
372	12504.95734
373	12482.26613
374	12449.18599
375	12420.16469
376	12397.67783
377	12379.35023
378	12339.91675
379	12301.8055
380	12285.46701
381	12260.73059
382	12222.55066
383	12205.09545
384	12184.22273
385	12168.66738
386	12157.72797
387	12131.14476
388	12109.06318
389	12088.19325
390	12063.57713
391	12061.09122
392	12035.60539
393	12011.37632
394	11991.77292
395	11989.61464
396	11974.02548
397	11956.43178
398	11938.33059
399	11935.72575
400	11911.59713
401	11885.2018
402	11846.47746
403	11824.64922
404	11808.808
405	11790.9886
406	11777.06482
407	11734.98499
408	11715.80529
409	11702.13591
410	11685.42371
411	11683.69648
412	11660.15821
413	11636.80099
414	11616.4193
415	11596.75636
416	11580.68842
417	11564.97888
418	11546.76358
419	11522.30482
420	11495.38049
421	11481.4133
422	11443.73856
423	11424.84988
424	11410.1552
425	11392.40365
426	11376.11548
427	11353.16635
428	11320.43351
429	11300.4638
430	11268.12139
431	11253.63515
432	11230.47648
433	11208.41451
434	11189.20386
435	11169.13773
436	11151.5093
437	11124.87831
438	11112.1951
439	11089.93601
440	11077.84685
441	11044.41649
442	11023.03223
443	10999.97859
444	10980.1811
445	10967.90697
446	10965.92904
447	10940.95576
448	10938.97828
449	10921.88756
450	10895.16869
451	10862.95954
452	10827.21559
453	10804.05965
454	10780.19465
455	10767.4528
456	10740.86274
457	10733.35726
458	10721.4025
459	10692.37105
460	10666.19541
461	10653.33885
462	10639.70974
463	10623.56862
464	10606.04733
465	10582.80165
466	10563.57486
467	10546.48404
468	10544.91431
469	10526.46815
470	10524.94156
471	10508.28319
472	10493.44253
473	10472.56718
474	10446.7472
475	10442.91552
476	10441.00705
477	10430.10306
478	10401.99711
479	10387.15017
480	10385.23695
481	10363.05224
482	10361.1812
483	10357.65775
484	10335.14513
485	10318.00807
486	10301.71599
487	10288.23677
488	10271.43252
489	10250.51507
490	10232.49039
491	10222.14556
492	10208.82451
493	10196.70067
494	10184.48016
495	10157.60132
496	10142.66022
497	10141.14087
498	10139.07941
499	10124.12376
500	10103.53611
501	10085.00384
502	10075.02925
503	10058.44714
504	10032.28042
505	10013.34408
506	10005.46161
507	9993.618243
508	9992.016478
509	9976.350132
510	9962.323982
511	9947.625428
512	9946.590372
513	9927.605888
514	9907.705657
515	9906.257417
516	9876.783034
517	9849.559105
518	9848.295112
519	9847.044714
520	9835.18339
521	9818.587165
522	9805.653178
523	9780.464563
524	9767.38082
525	9753.570229
526	9724.013096
527	9712.079253
528	9702.406686
529	9684.418658
530	9670.313537
531	9667.411596
532	9665.995791
533	9648.175283
534	9633.234402
535	9613.754245
536	9590.704274
537	9576.463799
538	9549.540317
539	9526.735881
540	9506.823234
541	9493.709403
542	9492.382011
543	9480.847192
544	9469.045697
545	9467.1755
546	9461.066544
547	9450.322644
548	9430.047147
549	9411.1969
550	9400.637608
551	9387.51327
552	9373.990318
553	9347.697554
554	9335.535566
555	9327.592445
556	9310.418096
557	9299.221656
558	9283.381583
559	9282.163032
560	9264.846725
561	9263.496495
562	9238.533495
563	9226.615858
564	9201.614931
565	9190.979158
566	9176.075338
567	9175.125872
568	9166.730114
569	9151.75721
570	9140.853093
571	9131.164631
572	9116.003456
573	9101.029742
574	9087.945342
575	9078.798271
576	9057.824557
577	9046.634928
578	9044.701136
579	9033.607852
580	9024.385699
581	9009.204901
582	8995.127205
583	8983.90492
584	8961.354344
585	8950.887306
586	8936.617445
587	8935.612522
588	8924.996553
589	8915.273872
590	8904.111842
591	8902.231377
592	8894.425008
593	8877.897674
594	8860.826217
595	8850.984439
596	8831.031145
597	8811.778514
598	8799.359759
599	8780.252275
600	8762.200924
601	8747.446698
602	8739.243359
603	8714.466095
604	8697.09832
605	8684.161646
606	8671.524895
607	8670.604683
608	8657.354404
609	8649.97003
610	8648.787394
611	8647.941913
612	8634.439395
613	8613.708805
614	8608.327606
615	8593.197542
616	8578.705481
617	8563.879276
618	8556.69537
619	8544.34175
620	8535.895297
621	8526.003768
622	8518.31251
623	8515.69592
624	8499.499277
625	8482.150862
